Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
1,tseries,Música y baile,249500000,India,86200,2700,78,http://youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA
2,MrBeast,"Videojuegos, Humor",183500000,Estados Unidos,117400000,5300000,18500,http://youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA
3,CoComelon,Educación,165500000,Unknown,7000000,24700,0,http://youtube.com/channel/UCbCmjCuTUZos6Inko4u57UQ
4,SETIndia,,162600000,India,15600,166,9,http://youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q
5,KidsDianaShow,"Animación, Juguetes",113500000,Unknown,3900000,12400,0,http://youtube.com/channel/UCk8GzjMOrta8yxDcKfylJYw
6,PewDiePie,"Películas, Videojuegos",111500000,Estados Unidos,2400000,197300,4900,http://youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw
7,LikeNastyaofficial,Juguetes,107500000,Unknown,2600000,28000,0,http://youtube.com/channel/UCJplp5SjeGSdVdwsfb9Q7lQ
8,VladandNiki,"Animación, Juguetes",101400000,Unknown,4100000,22100,0,http://youtube.com/channel/UCvlE5gTbOvjiolFlEm-c_Ow
9,zeemusiccompany,Música y baile,99700000,India,74300,2600,32,http://youtube.com/channel/UCFFbwnve3yF62-tVXkTyHqg
10,WWE,Videojuegos,97200000,Estados Unidos,184500,6300,214,http://youtube.com/channel/UCJ5v_MCY6GNUBTO8-D3XoAg
11,BLACKPINK,Música y baile,91300000,Estados Unidos,863200,146900,3400,http://youtube.com/channel/UCOmHUn--16B90oW2L6FRR3A
12,GoldminesTelefilms,,89700000,India,34600,421,13,http://youtube.com/channel/UCyoXW-Dse7fURq30EWl_CUA
13,SonySAB,"Películas, Animación",85400000,India,35500,615,21,http://youtube.com/channel/UC6-F5tO8uklgE9Zy8IvbdFw
14,5MinuteCraftsYouTube,Películas,80300000,India,164600,703,35,http://youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw
15,BTS,Música y baile,76500000,India,969700,180300,7400,http://youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ
16,HYBELABELS,Música y baile,72700000,Estados Unidos,440700,23900,932,http://youtube.com/channel/UC3IZKseVpdzPSBaWxBxundA
17,zeetv,,72500000,India,7300,144,1,http://youtube.com/channel/UCppHT7SZKKvar4Oc9J4oljQ
18,Pinkfong,"Animación, Juguetes",69600000,Unknown,506400,397,0,http://youtube.com/channel/UCcdwLMPsaU2ezNSJU1nFoBQ
19,ChuChuTV,Juguetes,67500000,Unknown,652100,17800,0,http://youtube.com/channel/UCBnZ16ahKA2DZ_T5W0FPUXg
