Username,Categories,Subscribers,Country,Visits,Likes,Continent,Cluster
KidsDianaShow,"Animation, Toys",113500000,Unknown,3900000.0,12400,Unknown,3
PewDiePie,"Movies, Video Games",111500000,United States,2400000.0,197300,North America,3
LikeNastyaofficial,Toys,107500000,Unknown,2600000.0,28000,Unknown,3
VladandNiki,"Animation, Toys",101400000,Unknown,4100000.0,22100,Unknown,3
zeemusiccompany,Music and Dance,99700000,India,74300.0,2600,Asia,3
WWE,Video Games,97200000,United States,184500.0,6300,North America,3
BLACKPINK,Music and Dance,91300000,United States,863200.0,146900,North America,3
GoldminesTelefilms,,89700000,India,34600.0,421,Asia,3
SonySAB,"Movies, Animation",85400000,India,35500.0,615,Asia,3
5MinuteCraftsYouTube,Movies,80300000,India,164600.0,703,Asia,3
BTS,Music and Dance,76500000,India,969700.0,180300,Asia,3
HYBELABELS,Music and Dance,72700000,United States,440700.0,23900,North America,3
zeetv,,72500000,India,7300.0,144,Asia,3
Pinkfong,"Animation, Toys",69600000,Unknown,506400.0,397,Unknown,3
ChuChuTV,Toys,67500000,Unknown,652100.0,17800,Unknown,3
KondZilla,Music and Dance,66600000,Brazil,30400.0,1100,South America,3
colorstv,,66600000,India,14700.0,413,Asia,3
filmigaane,Music and Dance,66400000,India,33000.0,392,Asia,3
TSeriesBhaktiSagar,Music and Dance,62600000,India,24900.0,983,Asia,3
tipsofficial,Music and Dance,60900000,India,80200.0,935,Asia,3
MOVIECLIPS,"Movies, Animation",59900000,United States,16600.0,231,North America,3
ElReinoInfantil,Music and Dance,59700000,Unknown,393000.0,2600,Unknown,3
dudeperfect,Video Games,59700000,United States,5300000.0,156500,North America,3
aajtak,News and Politics,58900000,India,7600.0,229,Asia,3
WaveMusicIndia,Music and Dance,58700000,Unknown,36600.0,792,Unknown,3
SonyMusicIndia,Music and Dance,57900000,India,26300.0,964,Asia,3
marshmello,Music and Dance,56700000,United States,145900.0,8900,North America,3
yrf,Music and Dance,55700000,India,60300.0,2100,Asia,3
infobellshindirhymes,Education,55700000,Unknown,1200000.0,34700,Unknown,3
LooLooKids,Music and Dance,54800000,United States,595600.0,2700,North America,3
TaylorSwift,Music and Dance,54100000,United States,4300000.0,300400,North America,3
EdSheeran,Music and Dance,53700000,United States,144200.0,10200,North America,3
BillionSurpriseToys,Toys,53100000,Unknown,1600000.0,0,Unknown,3
ArianaGrande,Music and Dance,52900000,United States,1100000.0,85800,North America,3
shemaroo,,48800000,India,22600.0,163,Asia,2
JuegaGerman,"Movies, Animation",48600000,Mexico,2000000.0,117100,North America,3
BillieEilish,Music and Dance,48600000,United States,208100.0,27200,North America,3
getmovies,,48100000,Unknown,55700.0,329,Unknown,4
sonymusicindiaVEVO,Music and Dance,47500000,India,36600.0,664,Asia,2
A4a4a4a4,"Animation, Comedy",47300000,Russia,9700000.0,330400,Europe,5
badabunOficial,,47000000,Mexico,6800.0,260,North America,3
HarPalGeoOfficial,"Movies, Animation",46400000,Pakistan,11000.0,299,Asia,3
vootkids,,46000000,Unknown,540900.0,3400,Unknown,4
ARYDigitalasia,,45900000,Pakistan,20000.0,242,Asia,3
felipeneto,,45600000,Brazil,850600.0,82100,South America,2
abscbnentertainment,,45000000,Philippines,6100.0,180,Asia,2
vcsabiavideos,,45000000,Brazil,665700.0,39800,South America,2
BRIGHTSIDEOFFICIAL,,44600000,United States,22700.0,430,North America,3
KatyPerry,Music and Dance,44400000,Unknown,101400.0,7500,Unknown,4
Shakira,Video Games,44400000,United States,102100.0,8200,North America,4
whindersson,"Music and Dance, Animation",44400000,Brazil,174600.0,35700,South America,2
MashaBearRUSSIAN,,44200000,Unknown,664500.0,5700,Unknown,4
Alanwalkermusic,"Music and Dance, Movies",44000000,United States,124700.0,8200,North America,3
MashaBearEN,"Movies, Animation",43700000,Unknown,856200.0,7500,Unknown,4
Mikecrack,"Movies, Animation",43400000,Mexico,2200000.0,183400,North America,3
toysandcolors,"Movies, Toys",42900000,Unknown,2000000.0,4600,Unknown,4
speedrecords,Music and Dance,42900000,India,21100.0,1100,Asia,2
LikeNastya_Show,"Movies, Toys",42500000,Unknown,972200.0,2400,Unknown,4
KimberlyLoaiza,Music and Dance,42100000,Mexico,5300000.0,271300,North America,5
IshtarMusic,Music and Dance,42100000,India,32600.0,994,Asia,2
luisitocomunica,,41100000,Mexico,2500000.0,128900,North America,2
LittleBabyBum,"Animation, Toys",41000000,Unknown,99000.0,184,Unknown,1
shfa2,"Animation, Toys",40600000,Unknown,585500.0,4800,Unknown,1
CarryMinati,"Movies, Comedy",40300000,India,0.0,0,Asia,2
luccastoon,"Movies, Animation",40100000,Brazil,588600.0,13100,South America,2
SuperSimpleSongs,Music and Dance,39900000,Unknown,648400.0,10100,Unknown,4
JessNoLimit,"Movies, Animation",39600000,Indonesia,1300000.0,73500,Asia,2
xxxtentacion,Music and Dance,39500000,United States,225700.0,28500,North America,4
SonyPAL,,39500000,India,21800.0,255,Asia,2
WorkpointOfficial,,39400000,Thailand,6200.0,157,Asia,2
gr6explode,Music and Dance,39300000,Brazil,120300.0,5700,South America,2
TEDx,,39100000,United States,160.0,3,North America,4
GaaneSuneAnsune,Music and Dance,39100000,India,28800.0,211,Asia,2
shfa-1,Daily Vlogs,39100000,France,5300000.0,57300,Europe,2
vladvaniki1,"Movies, Comedy",38700000,Unknown,890600.0,3400,Unknown,4
TheEllenShow,,38300000,United States,26000.0,433,North America,4
DaddyYankee,Music and Dance,38300000,Colombia,82800.0,6500,South America,2
LikeNastya_ESP,,38100000,Unknown,403800.0,1800,Unknown,4
one31official,,38100000,Thailand,4800.0,122,Asia,2
ABPNEWS,,38100000,India,2400.0,59,Asia,2
MariaClaraeJP,"Movies, Animation",37700000,Unknown,1700000.0,10800,Unknown,4
YouTube,,37500000,United States,101200.0,3400,North America,4
PowerKidstv,"Movies, Animation",37400000,India,41700.0,0,Asia,2
Jkk_Entertainment,,37300000,India,2300000.0,20100,Asia,2
UltraBollywood,,37300000,India,24300.0,185,Asia,2
SaregamaMusic,Movies,37000000,India,27300.0,703,Asia,2
RicisOfficial1795,"Music and Dance, Movies",36900000,Indonesia,343800.0,27500,Asia,2
beterbocuk,,36800000,India,1000000.0,54100,Asia,2
IndiaTV,News and Politics,36700000,India,14300.0,255,Asia,2
LaGranjaDeZenon,"Music and Dance, Animation",36600000,Unknown,599800.0,5200,Unknown,4
tseriesoldisgold,Music and Dance,36500000,India,41100.0,1200,Asia,2
Ozuna,Music and Dance,36300000,United States,22700.0,2400,North America,4
TotalGaming093,"Movies, Video Games",36300000,India,1500000.0,129400,Asia,2
GenevievesPlayhouse,Toys,35700000,Unknown,965500.0,824,Unknown,4
TechnoGamerzOfficial,,35600000,India,6200000.0,341800,Asia,5
RyansWorld,"Video Games, Toys",35500000,Unknown,326500.0,2000,Unknown,4
markiplier,"Animation, Video Games",35500000,United States,2100000.0,126500,North America,1
tseriesapnapunjab,Music and Dance,35000000,India,23300.0,601,Asia,2
JingleToons,,35000000,India,111400.0,641,Asia,2
thedonato,,34700000,Mexico,710700.0,42400,North America,2
YOLOAVENTURAS,"Movies, Animation",34600000,Mexico,1100000.0,73600,North America,2
GeetMP3,Music and Dance,34500000,India,0.0,0,Asia,2
Rajshri,,34200000,India,13700.0,119,Asia,2
starplus,,34200000,India,10500.0,267,Asia,2
jbalvin,"Animation, Video Games",34200000,Colombia,16900.0,1600,South America,1
SSSniperWolf,"Animation, Comedy",34200000,United States,1200000.0,34600,North America,1
Ch3Thailand,,34000000,Thailand,34500.0,442,Asia,2
vegetta777,"Movies, Animation",34000000,Mexico,249900.0,19400,North America,2
NoCopyrightSounds,Music and Dance,33600000,United States,191100.0,6900,North America,4
KHANDESHIMOVIES,,33600000,India,758300.0,6200,Asia,2
babybus,"Animation, Toys",33300000,Unknown,267300.0,623,Unknown,1
DisneyMusicVEVO,"Music and Dance, Movies",33200000,United States,276900.0,3200,North America,4
KarolG,Music and Dance,33000000,Colombia,74000.0,2700,South America,2
WowKidz1,"Animation, Comedy",33000000,Unknown,17200.0,88,Unknown,1
PANDABOI,,33000000,India,2500000.0,66600,Asia,2
erosentertainment,Movies,33000000,India,7100.0,93,Asia,2
gmanetwork,,32900000,Philippines,2600.0,83,Asia,2
LucasandMarcus,"Animation, Comedy",32800000,United States,706100.0,23300,North America,1
AboFlah,"Animation, Video Games",32700000,Iraq,3300000.0,382000,Asia,5
MRINDIANHACKER,,32600000,India,6500000.0,617400,Asia,5
FrostDiamond,"Movies, Animation",32600000,Indonesia,316200.0,13200,Asia,2
MrBean,"Movies, Comedy",32400000,India,204400.0,1800,Asia,2
WorldwideRecordsBhojpuri,Music and Dance,32200000,India,44200.0,1600,Asia,2
rezendeevil,Movies,32200000,Brazil,413400.0,15600,South America,2
SMTOWN,Music and Dance,32200000,United States,132300.0,12700,North America,4
PeppaPigOfficial,Toys,32200000,Unknown,110200.0,508,Unknown,4
zeenews,News and Politics,32100000,India,14700.0,231,Asia,2
fedevigevani,"Animation, Comedy",32000000,Mexico,7700000.0,412200,North America,5
dream,"Animation, Video Games",31900000,United States,3300000.0,309200,North America,1
GENIALBrightSideSpanish,Animation,31800000,Mexico,15500.0,524,North America,1
luisfonsi,,31600000,United States,20800.0,1400,North America,4
zhong,,31400000,United States,2900000.0,118300,North America,4
fallontonight,,31200000,United States,263100.0,3900,North America,4
dianaandromaesp331,"Animation, Toys",31100000,Unknown,403500.0,714,Unknown,1
ShortsBreak_Official,,31000000,India,8600000.0,503400,Asia,5
ImagineDragons,Music and Dance,31000000,United States,77100.0,10700,North America,4
vladnikihindi,,30900000,Unknown,897100.0,3400,Unknown,4
AttaHalilintar,"Music and Dance, Movies",30600000,Indonesia,155300.0,7600,Asia,2
enaldinho,Movies,30600000,Brazil,1800000.0,63400,South America,2
toyoraljanahtv,Music and Dance,30600000,Unknown,131100.0,0,Unknown,4
jacksepticeye,"Animation, Comedy",30400000,United States,1600000.0,83400,North America,1
TrapNation,Music and Dance,30400000,United States,47800.0,1600,North America,4
LittleAngel,"Animation, Toys",30400000,Unknown,394800.0,209,Unknown,1
