Username,Categories,Subscribers,Country,Visits,Likes,Continent,CPM,clusters
KidsDianaShow,"Animation, Toys",113500000,Unknown,3900000.0,12400,Unknown,0.39246910299003324,1
PewDiePie,"Movies, Video Games",111500000,United States,2400000.0,197300,North America,0.37810575814736735,1
LikeNastyaofficial,Toys,107500000,Unknown,2600000.0,28000,Unknown,0.34678338739891257,1
VladandNiki,"Animation, Toys",101400000,Unknown,4100000.0,22100,Unknown,0.3628478268247949,1
zeemusiccompany,Music and Dance,99700000,India,74300.0,2600,Asia,0.26143135912381127,1
WWE,Video Games,97200000,United States,184500.0,6300,North America,0.2571553342166583,1
BLACKPINK,Music and Dance,91300000,United States,863200.0,146900,North America,0.2756377360337839,1
GoldminesTelefilms,Unknown,89700000,India,34600.0,421,Asia,0.2307272694619768,1
SonySAB,"Movies, Animation",85400000,India,35500.0,615,Asia,0.2181040082828032,1
5MinuteCraftsYouTube,Movies,80300000,India,164600.0,703,Asia,0.2060894357446364,1
BTS,Music and Dance,76500000,India,969700.0,180300,Asia,0.239270977553538,1
HYBELABELS,Music and Dance,72700000,United States,440700.0,23900,North America,0.19342736653851927,1
zeetv,Unknown,72500000,India,7300.0,144,Asia,0.1793651915226912,1
Pinkfong,"Animation, Toys",69600000,Unknown,506400.0,397,Unknown,0.18246214216527754,1
ChuChuTV,Toys,67500000,Unknown,652100.0,17800,Unknown,0.1821480520073886,1
KondZilla,Music and Dance,66600000,Brazil,30400.0,1100,South America,0.162651938854767,1
colorstv,Unknown,66600000,India,14700.0,413,Asia,0.16218867971855438,1
filmigaane,Music and Dance,66400000,India,33000.0,392,Asia,0.16202187015123132,1
TSeriesBhaktiSagar,Music and Dance,62600000,India,24900.0,983,Asia,0.1507194983388704,1
tipsofficial,Music and Dance,60900000,India,80200.0,935,Asia,0.14698886452492999,1
MOVIECLIPS,"Movies, Animation",59900000,United States,16600.0,231,North America,0.14246226851555718,1
ElReinoInfantil,Music and Dance,59700000,Unknown,393000.0,2600,Unknown,0.15096479449640687,1
dudeperfect,Video Games,59700000,United States,5300000.0,156500,North America,0.2870667878518886,1
aajtak,News and Politics,58900000,India,7600.0,229,Asia,0.13930572566233054,1
WaveMusicIndia,Music and Dance,58700000,Unknown,36600.0,792,Unknown,0.13947118187573837,1
SonyMusicIndia,Music and Dance,57900000,India,26300.0,964,Asia,0.13689865456990125,1
marshmello,Music and Dance,56700000,United States,145900.0,8900,North America,0.1372774184284213,1
yrf,Music and Dance,55700000,India,60300.0,2100,Asia,0.1313683373692146,1
infobellshindirhymes,Education,55700000,Unknown,1200000.0,34700,Unknown,0.16253013138914815,1
LooLooKids,Music and Dance,54800000,United States,595600.0,2700,North America,0.14125062953220766,1
TaylorSwift,Music and Dance,54100000,United States,4300000.0,300400,North America,0.2678651698007297,1
EdSheeran,Music and Dance,53700000,United States,144200.0,10200,North America,0.12858273339033605,1
BillionSurpriseToys,Toys,53100000,Unknown,1600000.0,0,Unknown,0.15921323159866588,1
ArianaGrande,Music and Dance,52900000,United States,1100000.0,85800,North America,0.15925307651639264,1
shemaroo,Unknown,48800000,India,22600.0,163,Asia,0.10988089068527304,3
JuegaGerman,"Movies, Animation",48600000,Mexico,2000000.0,117100,North America,0.17198283194851477,3
BillieEilish,Music and Dance,48600000,United States,208100.0,27200,North America,0.11746788178240182,3
getmovies,Unknown,48100000,Unknown,55700.0,329,Unknown,0.10861150404349616,3
sonymusicindiaVEVO,Music and Dance,47500000,India,36600.0,664,Asia,0.10644700225182595,3
A4a4a4a4,"Animation, Comedy",47300000,Russia,9700000.0,330400,Europe,0.37769298670443646,4
badabunOficial,Unknown,47000000,Mexico,6800.0,260,North America,0.10422278730361793,3
HarPalGeoOfficial,"Movies, Animation",46400000,Pakistan,11000.0,299,Asia,0.1025578602627783,3
vootkids,Unknown,46000000,Unknown,540900.0,3400,Unknown,0.11414533415138796,3
ARYDigitalasia,Unknown,45900000,Pakistan,20000.0,242,Asia,0.10128554232453707,3
felipeneto,Unknown,45600000,Brazil,850600.0,82100,South America,0.13141173495029665,3
abscbnentertainment,Unknown,45000000,Philippines,6100.0,180,Asia,0.09830117003570285,3
vcsabiavideos,Unknown,45000000,Brazil,665700.0,39800,South America,0.11930070491942378,3
BRIGHTSIDEOFFICIAL,Unknown,44600000,United States,22700.0,430,North America,0.09754414890770126,3
KatyPerry,Music and Dance,44400000,Unknown,101400.0,7500,Unknown,0.09979499050316888,3
Shakira,Video Games,44400000,United States,102100.0,8200,North America,0.09991126957293633,3
whindersson,"Music and Dance, Animation",44400000,Brazil,174600.0,35700,South America,0.10552588751313566,3
MashaBearRUSSIAN,Unknown,44200000,Unknown,664500.0,5700,Unknown,0.11204380552056341,3
Alanwalkermusic,"Music and Dance, Movies",44000000,United States,124700.0,8200,North America,0.09925806904294135,3
MashaBearEN,"Movies, Animation",43700000,Unknown,856200.0,7500,Unknown,0.11528561050591024,3
Mikecrack,"Movies, Animation",43400000,Mexico,2200000.0,183400,North America,0.17078125828117147,3
toysandcolors,"Movies, Toys",42900000,Unknown,2000000.0,4600,Unknown,0.13911376094093691,3
speedrecords,Music and Dance,42900000,India,21100.0,1100,Asia,0.09259283070837876,3
LikeNastya_Show,"Movies, Toys",42500000,Unknown,972200.0,2400,Unknown,0.113718367719912,3
KimberlyLoaiza,Music and Dance,42100000,Mexico,5300000.0,271300,North America,0.2516003831367609,4
IshtarMusic,Music and Dance,42100000,India,32600.0,994,Asia,0.09048756586101339,3
luisitocomunica,Unknown,41100000,Mexico,2500000.0,128900,North America,0.1631942921107768,3
LittleBabyBum,"Animation, Toys",41000000,Unknown,99000.0,184,Unknown,0.08867438732711524,3
shfa2,"Animation, Toys",40600000,Unknown,585500.0,4800,Unknown,0.0994689874615721,3
CarryMinati,"Movies, Comedy",40300000,India,0.0,0,Asia,0.08428290766208252,3
luccastoon,"Movies, Animation",40100000,Brazil,588600.0,13100,South America,0.09925331736386245,3
SuperSimpleSongs,Music and Dance,39900000,Unknown,648400.0,10100,Unknown,0.09962605264703772,3
JessNoLimit,"Movies, Animation",39600000,Indonesia,1300000.0,73500,Asia,0.12295259743226572,3
xxxtentacion,Music and Dance,39500000,United States,225700.0,28500,North America,0.0912456095921258,3
SonyPAL,Unknown,39500000,India,21800.0,255,Asia,0.08246874912700952,3
WorkpointOfficial,Unknown,39400000,Thailand,6200.0,157,Asia,0.08179726294799915,3
gr6explode,Music and Dance,39300000,Brazil,120300.0,5700,South America,0.08494791298161335,3
